market,language,keyword,english,concept,volume,recent,cpc,kd,intent,variant_of
ae-en,en,notebooklm,en,nlm-head,49500,49500,3.5,47,trans,
ae-en,en,ollama,en,tools,4400,4400,10.94,32,info,
ae-en,en,obsidian ai,en,pkm,110,110,3.64,,info,
ae-en,en,open source ai,en,open-source,110,110,3.03,33,info,
ae-en,en,jan ai,en,tools,90,90,1.43,,info,
ae-en,en,notebooklm app,en,nlm-download,90,70,2.55,,trans,
ae-en,en,open notebook,en,tools,90,90,0,,nav,
ae-en,en,ai for pdf,en,rag-docs,70,50,1.34,46,info,
ae-en,en,ai podcast generator,en,podcast,70,10,4.09,,comm,
ae-en,en,is notebooklm free,en,nlm-price,70,70,0.98,,info,
ae-en,en,notebooklm download,en,nlm-download,70,70,2.28,,trans,
ae-en,en,chat with pdf,en,rag-docs,50,20,0.34,17,info,
ae-en,en,open source llm,en,open-source,50,50,0.61,,info,
ae-en,en,notebooklm api,en,nlm-other,40,20,0,,info,
ae-en,en,ai for lawyers,en,legal,30,20,32.4,18,comm,
ae-en,en,notebooklm for windows,en,nlm-download,30,30,0,,trans,
ae-en,en,notebooklm pricing,en,nlm-price,30,20,4.35,,comm,
ae-en,en,onyx ai,en,tools,30,30,5.58,,trans,
ae-en,en,ai knowledge base,en,rag-docs,20,20,0,,info,
ae-en,en,notebooklm alternatives,en,nlm-alternative,20,20,0,,info,
ae-en,en,notebooklm desktop app,en,nlm-download,20,10,0,,nav,
ae-en,en,notebooklm podcast,en,podcast,20,20,3.16,29,nav,
ae-en,en,ai for legal documents,en,legal,10,0,0,,comm,
ae-en,en,ai without internet,en,offline,10,10,0,,info,
ae-en,en,hipaa compliant ai,en,compliance,10,10,0,,nav,
ae-en,en,is notebooklm private,en,nlm-privacy,10,10,0,,info,
ae-en,en,notebooklm plus,en,nlm-price,10,10,0,,trans,
ae-en,en,notebooklm vs chatgpt,en,nlm-alternative,10,10,0,,info,
ae-en,en,open source notebooklm,en,nlm-switch,10,10,0,,nav,
ae-en,en,private gpt,en,tools,10,10,0.95,,info,
at-de,de,notebooklm,en,nlm-head,40500,22200,2.64,42,trans,
at-de,de,ollama,en,tools,5400,5400,3.72,23,info,
at-de,de,lm studio,en,tools,2900,2900,3.07,2,nav,
at-de,de,open webui,en,tools,880,880,4.39,28,nav,
at-de,de,notebooklm app,en,nlm-download,170,110,3.23,46,trans,
at-de,de,ai podcast generator,en,podcast,110,90,3.31,33,comm,
at-de,de,jan ai,en,tools,110,110,1.23,0,info,
at-de,de,open source ki,,open-source,110,110,2.47,3,info,
at-de,de,open notebook,en,tools,90,90,0,24,info,
at-de,de,open source ai,en,open-source,90,90,3.14,32,info,
at-de,de,notebooklm deutsch,,nlm-lang,70,30,3.45,9,nav,
at-de,de,notebooklm download,en,nlm-download,70,70,6.49,16,trans,
at-de,de,notebooklm alternative,en,nlm-alternative,50,50,0,,info,
at-de,de,notebooklm podcast,en,podcast,50,20,1.37,27,nav,
at-de,de,notebooklm pro,en,nlm-price,50,10,0,21,comm,
at-de,de,ki datenschutz,,private,40,30,6.34,,info,
at-de,de,notebooklm api,en,nlm-other,40,20,0,,info,
at-de,de,pdf to podcast,en,podcast,30,10,7.17,,info,
at-de,de,datenschutz ki,,private,20,10,2.77,,info,
at-de,de,notebooklm datenschutz,,nlm-privacy,20,20,0,,nav,
at-de,de,notebooklm desktop app,en,nlm-download,20,20,0,,nav,
at-de,de,notebooklm kostenlos,,nlm-price,20,20,0.51,,trans,
at-de,de,ai for lawyers,en,legal,10,10,10.03,,comm,
at-de,de,ai knowledge base,en,rag-docs,10,10,8.46,,info,
at-de,de,dsgvo ki,,compliance,10,10,3.35,,info,
at-de,de,ki dsgvo,,compliance,10,10,5.57,,info,
at-de,de,ki für anwälte,,legal,10,10,27.33,,info,
at-de,de,ki on premise,,on-prem,10,10,0,,info,
at-de,de,ki podcast generator,,podcast,10,10,6.24,,info,
at-de,de,notebooklm for business,en,nlm-switch,10,0,0,,trans,
at-de,de,notebooklm herunterladen,,nlm-download,10,10,1.64,,trans,
at-de,de,notebooklm plus,en,nlm-price,10,10,0,38,trans,
at-de,de,private gpt,en,tools,10,10,0,,info,
at-de,de,second brain ai,en,pkm,10,10,0,,info,
at-de,de,chat with documents locally,en,rag-docs,0,0,0,,nav,
au-en,en,notebooklm,en,nlm-head,74000,74000,3.29,61,trans,
au-en,en,ollama,en,tools,14800,14800,6.51,46,info,
au-en,en,lm studio,en,tools,6600,6600,10.41,35,nav,
au-en,en,open webui,en,tools,1600,1600,5.08,28,nav,
au-en,en,msty,en,tools,1300,590,14.61,4,info,
au-en,en,ai podcast generator,en,podcast,590,480,4.15,10,comm,
au-en,en,local llm,en,local,590,590,2.04,22,nav,
au-en,en,open source ai,en,open-source,590,590,9.55,46,info,
au-en,en,obsidian ai,en,pkm,480,480,14.38,22,info,
au-en,en,sovereign ai,en,sovereign,480,480,11.63,0,info,
au-en,en,gpt4all,en,tools,390,210,6.71,12,info,
au-en,en,jan ai,en,tools,390,390,2.46,11,info,
au-en,en,is notebooklm free,en,nlm-price,320,320,3.8,39,info,
au-en,en,notebooklm app,en,nlm-download,320,320,5.08,32,trans,
au-en,en,open notebook,en,tools,320,320,0,28,info,
au-en,en,ai for lawyers,en,legal,210,210,18.03,19,comm,
au-en,en,notebooklm pricing,en,nlm-price,210,210,4.3,26,comm,
au-en,en,open source llm,en,open-source,210,210,7.25,40,info,
au-en,en,ai research assistant,en,research,170,170,9.23,55,info,
au-en,en,best local llm,en,local,170,170,4.18,11,info,
au-en,en,private ai,en,private,170,170,2.73,15,info,
au-en,en,private ai chatbot,en,private,170,170,2.71,,comm,
au-en,en,ai for pdf,en,rag-docs,140,90,5.86,37,info,
au-en,en,offline ai,en,offline,140,140,9.73,8,info,
au-en,en,notebooklm api,en,nlm-other,110,50,0,24,info,
au-en,en,notebooklm download,en,nlm-download,110,110,2.36,30,trans,
au-en,en,secure ai,en,compliance,110,110,17.54,23,comm,
au-en,en,notebooklm alternatives,en,nlm-alternative,90,90,5.59,0,info,
au-en,en,self-hosted llm,en,self-hosted,90,70,13.19,0,info,
au-en,en,chat with pdf,en,rag-docs,70,30,2.45,31,info,
au-en,en,notebooklm for students,en,nlm-switch,70,70,0,5,trans,
au-en,en,notebooklm podcast,en,podcast,70,70,1.92,20,nav,
au-en,en,onyx ai,en,tools,70,70,6.71,25,trans,
au-en,en,second brain ai,en,pkm,70,70,6.09,16,info,
au-en,en,ai knowledge base,en,rag-docs,50,50,92.04,20,info,
au-en,en,notebooklm plus,en,nlm-price,50,30,0.65,39,trans,
au-en,en,notebooklm for mac,en,nlm-download,40,40,0,,trans,
au-en,en,notebooklm for windows,en,nlm-download,40,30,9.86,,trans,
au-en,en,notebooklm vs chatgpt,en,nlm-alternative,40,40,0,0,info,
au-en,en,pdf to podcast,en,podcast,40,20,5.29,0,info,
au-en,en,download notebooklm,en,nlm-download,30,30,8.16,30,trans,
au-en,en,notebooklm desktop app,en,nlm-download,30,30,0,,nav,
